date,country,cpi
1983-01-01,Sweden,42.4777
1983-01-01,United Kingdom,38.94882
1983-01-01,United States,40.36312
1983-04-01,Australia,33.103790000000004
1983-04-01,Canada,46.2721
1983-04-01,France,50.57425
1983-04-01,Germany,56.30265
1983-04-01,Japan,81.59188
1983-04-01,New Zealand,31.23862
1983-04-01,Sweden,43.21858
1983-04-01,United Kingdom,39.88664
1983-04-01,United States,40.7618
1983-07-01,Australia,33.604
1983-07-01,Canada,46.87595
1983-07-01,France,51.63026
1983-07-01,Germany,56.90277
1983-07-01,Japan,81.56175999999999
1983-07-01,New Zealand,31.44328
1983-07-01,Sweden,43.86025
1983-07-01,United Kingdom,40.39927
1983-07-01,United States,41.28421
1983-10-01,Australia,34.4888
1983-10-01,Canada,47.48993
1983-10-01,France,52.55264
1983-10-01,Germany,57.19608
1983-10-01,Japan,82.69646
1983-10-01,New Zealand,31.67844
1983-10-01,Sweden,44.85588
1983-10-01,United Kingdom,40.81811
1983-10-01,United States,41.93036
1984-01-01,Australia,34.18761
1984-01-01,Canada,47.77571
1984-01-01,France,53.45234
1984-01-01,Germany,57.61788000000001
1984-01-01,Japan,82.48849
1984-01-01,New Zealand,31.98767
1984-01-01,Sweden,45.88519
1984-01-01,United Kingdom,40.99304
1984-01-01,United States,42.32904
1984-04-01,Australia,34.337709999999994
1984-04-01,Canada,48.20778
1984-04-01,France,54.45656999999999
1984-04-01,Germany,57.92524
1984-04-01,Japan,83.69188
1984-04-01,New Zealand,32.76702
1984-04-01,Sweden,46.59816
1984-04-01,United Kingdom,41.87342
1984-04-01,United States,42.8377
1984-07-01,Australia,34.73547
1984-07-01,Canada,48.572590000000005
1984-07-01,France,55.2676
1984-07-01,Germany,58.03183000000001
1984-07-01,Japan,83.75237
1984-07-01,New Zealand,33.59361
1984-07-01,Sweden,47.12538
1984-07-01,United Kingdom,42.4557
1984-07-01,United States,43.37386
1984-10-01,Australia,35.24098
1984-10-01,Canada,49.037690000000005
1984-10-01,France,55.98732
1984-10-01,Germany,58.46746
1984-10-01,Japan,84.94233
1984-10-01,New Zealand,34.60226
1984-10-01,Sweden,48.241890000000005
1984-10-01,United Kingdom,43.08863
1984-10-01,United States,43.92376
1985-01-01,Australia,35.72007
1985-01-01,Canada,49.41777
1985-01-01,France,56.68578
1985-01-01,Germany,58.94466
1985-01-01,Japan,84.82207
1985-01-01,New Zealand,36.15314
1985-01-01,Sweden,49.21808
1985-01-01,United Kingdom,43.56737
1985-01-01,United States,44.29495
1985-04-01,Australia,36.51204
1985-04-01,Canada,50.07536
1985-04-01,France,57.65836
1985-04-01,Germany,59.303540000000005
